
Worker ID: 1 / Time: 9
Worker ID: 1 / Time: 9
Worker ID: 2 / Time: 2
Worker ID: 1 / Time: 9
Worker ID: 2 / Time: 2
Worker ID: 3 / Time: 6
Worker ID: 1 / Time: 8
Worker ID: 1 / Time: 8
Worker ID: 2 / Time: 9
Worker ID: 1 / Time: 10
Worker ID: 1 / Time: 10
Worker ID: 2 / Time: 4
Worker ID: 1 / Time: 10
Worker ID: 2 / Time: 4
Worker ID: 3 / Time: 10
Worker ID: 1 / Time: 10
Worker ID: 2 / Time: 4
Worker ID: 3 / Time: 10
Worker ID: 4 / Time: 1
Worker ID: 1 / Time: 3
Worker ID: 1 / Time: 3
Worker ID: 2 / Time: 7
Worker ID: 1 / Time: 4
Worker ID: 1 / Time: 1
Worker ID: 1 / Time: 9
Worker ID: 1 / Time: 5
Worker ID: 1 / Time: 5
Worker ID: 2 / Time: 7
Worker ID: 1 / Time: 5
Worker ID: 2 / Time: 7
Worker ID: 3 / Time: 2
Worker ID: 1 / Time: 5
Worker ID: 2 / Time: 7
Worker ID: 3 / Time: 2
Worker ID: 4 / Time: 1
